Section,Category,Item Name,Description,Price
Poee Sandwiches - Monday - Friday | 12 pm - 7 pm,Poee Sandwiches - Monday - Friday | 12 pm - 7 pm,Rawa Fried Fish,Green chilli chutney & pickled cabbage,
Poee Sandwiches - Monday - Friday | 12 pm - 7 pm,Poee Sandwiches - Monday - Friday | 12 pm - 7 pm,Good OL' Choriz Chilli Fry,"Caramelized onions, tomatoes & fried egg",
Wood Fire Roast,CHOOSE YOUR CATCH,Whole Fish (Catch of the Day) | Large Prawns  ( Per Pc.),,
Wood Fire Roast,Choose Your Preparation,Rechado,"Goa’s favourite tangy and spicy sauce with red chillies and
tamarind.",
Wood Fire Roast,Choose Your Preparation,Cafreal,"A herb-flavoured sauce made with coriander leaves, green
chillies and fresh garlic.",
Wood Fire Roast,Choose Your Preparation,Pedro's Hot Sauce,"A challenge for chilli junkies, our homemade red hot sauce
is loaded with (what else!) red chillies and spiked
with vinegar.",
Wood Fire Roast,Choose Your Preparation,Portuguese chilli-garlic oil,,
"Quarter Plates, Small Plates, Full Plates & Desserts",Half Plates,Garlicky Potato Chips,Crispy potato wafers tossed with chilli-garlic oil,
"Quarter Plates, Small Plates, Full Plates & Desserts",Half Plates,Cheese Mousse,"Kokum tomato jam, pickled chillies, crackers",
"Quarter Plates, Small Plates, Full Plates & Desserts",Half Plates,Mushroom Ceviche,"Pickled oyster mushrooms, lima bean mousse, crispy tempura",
"Quarter Plates, Small Plates, Full Plates & Desserts",Half Plates,Burrata Salad,"Pumpkin foogath, heirloom tomato salad, moringa chutney, rose cookie",
"Quarter Plates, Small Plates, Full Plates & Desserts",Half Plates,Charred Eggplant,"Tamarind cream, tomato pickle, frosted peanuts & tapioca crisps",
"Quarter Plates, Small Plates, Full Plates & Desserts",Half Plates,Wild Mushroom Caldeirada,"Roasted pepper & potato stew, sourdough pao",
"Quarter Plates, Small Plates, Full Plates & Desserts",Half Plates,Alsande DAN-GAR,"Crumb-fried cutlet, green mango chutney, water chestnut kachumber",
"Quarter Plates, Small Plates, Full Plates & Desserts",Half Plates,Corn BAL-CHOW,"Red chilli & toddy vinegar masala, corn mousse, parmesan",
"Quarter Plates, Small Plates, Full Plates & Desserts",Half Plates,Jackfruit Vindaloo Quesadilla,"Rice bhakri, string cheese, rassa",
"Quarter Plates, Small Plates, Full Plates & Desserts",Half Plates,Tender Coconut KIS-MUR,"Spicy coconut masala, curry leaves, tamarind chilli glaze",
"Quarter Plates, Small Plates, Full Plates & Desserts",Half Plates,Lotus Root Chilli Fry,"Stir-fried with ginger, kokum & fresh green chillies",
"Quarter Plates, Small Plates, Full Plates & Desserts",Half Plates,Grilled Sunchoke,"Raw mango sauce, green chilli chutney, goat cheese, smoked almonds",
"Quarter Plates, Small Plates, Full Plates & Desserts",Half Plates,Pedro’s Garlic Bread,"Brie chunks, confit garlic, green garlic butter",
"Quarter Plates, Small Plates, Full Plates & Desserts",Half Plates,Cured Ham,"Melon cheese, mustard & crackers",
"Quarter Plates, Small Plates, Full Plates & Desserts",Half Plates,Pedro's Ceviche,"Cured fish, tamarind dressing, Bhavnagri chilli salsa",
"Quarter Plates, Small Plates, Full Plates & Desserts",Half Plates,Prawn Curry Crudo,"Fermented green mango, prawn head oil, shrimp crackers",
"Quarter Plates, Small Plates, Full Plates & Desserts",Half Plates,Maria’s Tuna Toast,"Fermented chilli mayo, cured yolks, pickles",
"Quarter Plates, Small Plates, Full Plates & Desserts",Half Plates,Choriz Chilli Taco,"Rice bhakri, shoestring fries, tomato aioli",
"Quarter Plates, Small Plates, Full Plates & Desserts",Half Plates,Cardoz's Chicken Chilli Fry,"Fresh green chillies, garlic, kokum",
"Quarter Plates, Small Plates, Full Plates & Desserts",Half Plates,Pedro’s Grilled Chicken,Jeerem meerem spice & red pepper salsa,
"Quarter Plates, Small Plates, Full Plates & Desserts",Half Plates,NISH-TE Rawa Fry,"Catch of the day, thecha aioli, pickled cabbage",
"Quarter Plates, Small Plates, Full Plates & Desserts",Half Plates,Prawn BAL-CHOW,"Red chilli, toddy vinegar, prawn oil",
"Quarter Plates, Small Plates, Full Plates & Desserts",Half Plates,Soft Shell Crab KIS-MUR,"Fresh coconut masala, curry leaves, tamarind chilli glaze",
"Quarter Plates, Small Plates, Full Plates & Desserts",Half Plates,Squid SHEK-SHEK,"Toasted coconut masala, pickled cucumbers",
"Quarter Plates, Small Plates, Full Plates & Desserts",Half Plates,Pork & Bacon AM-SOL,"Kokum-chilli masala, confit yolk, crispy garlic, lettuce wraps",
"Quarter Plates, Small Plates, Full Plates & Desserts",Half Plates,Choriz Flat Bread,"House-cured choriz `nduja, marinated tomato, confit yolk",
"Quarter Plates, Small Plates, Full Plates & Desserts",Half Plates,Bone Marrow AAD-MAAS,"Charred chilli- tamarind gravy, pickles, crusty poee",
"Quarter Plates, Small Plates, Full Plates & Desserts",Half Plates,Roasted Lamb Chops,"Recheado masala, mustard cream, pickled pears",
"Quarter Plates, Small Plates, Full Plates & Desserts",Half Plates,Pedro’s World Famous B**F Burger,"Double patty, sharp cheddar, shaved onions, milk bun",
"Quarter Plates, Small Plates, Full Plates & Desserts",Maka Pao Zai,House Baked Sourdough Poee,Served with a choice of,
"Quarter Plates, Small Plates, Full Plates & Desserts",Maka Pao Zai,Veg Butters,,
"Quarter Plates, Small Plates, Full Plates & Desserts",Maka Pao Zai,Non-Veg Butters,,
"Quarter Plates, Small Plates, Full Plates & Desserts",Maka Pao Zai,All Three Butters,"BAL-CHOW, Herb & Confit Garlic Butter & Choriz Butter",
"Quarter Plates, Small Plates, Full Plates & Desserts",Full Plates,Panji Green Watana Rassa with ‘Bhatura’,Spicy fennel-mustard curry & fried savoury banana bread,
"Quarter Plates, Small Plates, Full Plates & Desserts",Full Plates,Ananas Kaju Curry,"Tangy pineapple-coconut curry, stued chillies, curry leaf oil",
"Quarter Plates, Small Plates, Full Plates & Desserts",Full Plates,Green Amaranth FOO-GATH,"Spicy amaranth saag, crispy garlic, chickpea tofu",
"Quarter Plates, Small Plates, Full Plates & Desserts",Full Plates,Moong Ros,"Spicy coconut masala, bean sprouts, garlic butter",
"Quarter Plates, Small Plates, Full Plates & Desserts",Full Plates,Pinto’s Midnight Mushroom Rice,"Wild mushrooms, spicy coconut masala, toasted cashews",
"Quarter Plates, Small Plates, Full Plates & Desserts",Full Plates,Chicken Meatball Curry,"Toasted chilli & cilantro masala, toddy vinegar, pickled onions",
"Quarter Plates, Small Plates, Full Plates & Desserts",Full Plates,Valpoi Mutton Curry,"Spicy coconut & fried onion curry, baby potatoes",
"Quarter Plates, Small Plates, Full Plates & Desserts",Full Plates,Beryl’s Fish Curry,Dried mango & kokum-coconut curry,
"Quarter Plates, Small Plates, Full Plates & Desserts",Full Plates,Prawn Ambto,"Raw mango & turmeric curry, prawn oil",
"Quarter Plates, Small Plates, Full Plates & Desserts",Full Plates,Choriz Fried Rice,"Smoked bacon, shrimps, dirty fried egg",
"Quarter Plates, Small Plates, Full Plates & Desserts",Sides,House Baked Sourdough Poee,,
"Quarter Plates, Small Plates, Full Plates & Desserts",Sides,Bhakri,,
"Quarter Plates, Small Plates, Full Plates & Desserts",Sides,Goan Brown Rice,,
"Quarter Plates, Small Plates, Full Plates & Desserts",Sides,Basmati Rice,,
"Quarter Plates, Small Plates, Full Plates & Desserts",Sides,Coconut Rice,,
"Quarter Plates, Small Plates, Full Plates & Desserts",Desserts,Aunty Li’s Serradura,"Condensed milk & whipped cream, toasted biscuit crumble, orange caramel, orange segments",
"Quarter Plates, Small Plates, Full Plates & Desserts",Desserts,Lisboa PAS-TEL DE NA-TA,Warm egg custard tarts,
"Quarter Plates, Small Plates, Full Plates & Desserts",Desserts,Poderacho Bol,"Freshly baked, brown sugar crumble, toffee banana, coffee ice cream",
"Quarter Plates, Small Plates, Full Plates & Desserts",Desserts,Churros,"Spiced hot chocolate, coconut flakes",
"Quarter Plates, Small Plates, Full Plates & Desserts",Desserts,Coconut Panna Cotta,"Macerated stone fruits, puffed rice",
"Quarter Plates, Small Plates, Full Plates & Desserts",Desserts,Pedro’s Chocolate Mousse,"Tamarind caramel, mascarpone cream, sea salt",
Bar Menu,Pedro's Favourites,Vasco Sour,"Pisco, triple sec, Goan toddy vinegar shrub, house-made spice grenadine, egg white, lime",
Bar Menu,Pedro's Favourites,Where Else?,"Fig-infused Bourbon Whiskey, Campari, Aromatised Wine, Ginger, Orange Bitters",
Bar Menu,Pedro's Favourites,Saturday Night Plan,"Jose Cuervo Silver Tequila, Hot Sauce, Coconut Water",
Bar Menu,Cocktails,Choriz & Chill,"Stranger & Sons, Choriz Infusion, Lemon, Saline & Pickle Brine, Bell Pepper Soda",
Bar Menu,Cocktails,Carrot Rhubarb Highball,"Short Story Dry Gin, Lillet Rosé, Carrot Rhubarb Cordial, Citrus, Soda",
Bar Menu,Cocktails,Kokum Picante,"Patrón Reposado, Spiced Kokum Cordial, Lime",
Bar Menu,Cocktails,Guava Pineapple Sour,"Perry Road Peru, Short Story Grain Vodka, Aperol, Tropical Saccharum, Lemon, Egg White",
Bar Menu,Cocktails,Mango Mambo,"Feni, Lime, Salt, Chilli, Mango Ginger Soda",
Bar Menu,Cocktails,Negroni Bianco,"Short Story Dry Gin, Karela-infused Bianco, White Chocolate Liqueur",
Bar Menu,Cocktails,Baga Brew,"Plantation Dark, Coee-Jaggery Syrup, Walnut Bitters, Clarified Coconut Milk",
Bar Menu,Cocktails,Beetroot Espresso Martini,"Dewar’s 12Y, Kahlúa, Hazelnut Liqueur, Beetroot Purée, Espresso",
Bar Menu,Cocktails,Serradura,"Short Story Grain Vodka, Triple Sec, Marie Biscuit, Condensed Milk, Orange, Clarified Almond Milk",
Bar Menu,Vodka,Smirnoff,30ml | Quarter | Bottle,
Bar Menu,Vodka,Short Story Grain Vodka,30 ml | Quarter | Bottle,
Bar Menu,Vodka,Belenkaya Gold,30 ml | Quarter | Bottle,
Bar Menu,Vodka,Absolut,"30 ml | Quarter |
Bottle",
Bar Menu,Vodka,Ketel One,30ml | Quarter | Bottle,
Bar Menu,Vodka,Grey Goose,30ml | Quarter | Bottle,
Bar Menu,Vodka,Belvedere,30ml | Quarter | Bottle,
Bar Menu,Vodka,Beluga,30ml | Quarter | Bottle,
Bar Menu,Gin,Short Story,"30 ml | Quarter |
Bottle",
Bar Menu,Gin,Broken Bat,,
Bar Menu,Gin,Gordon's,30ml | Quarter | Bottle,
Bar Menu,Gin,Perry Road Peru,,
Bar Menu,Gin,Pumori,30ml | Quarter | Bottle,
Bar Menu,Gin,Tanqueray,30ml | Quarter | Bottle,
Bar Menu,Gin,Trading Tides,"30 ml | Quarter |
Bottle",
Bar Menu,Gin,Bombay Sapphire,"30 ml | Quarter |
Bottle",
Bar Menu,Gin,Doja,"30 ml | Quarter |
Bottle",
Bar Menu,Gin,Tenjaku,30ml | Quarter | Bottle,
Bar Menu,Gin,Malhar,30ml | Quarter | Bottle,
Bar Menu,Gin,Bombay Sapphire Premier,,
Bar Menu,Rum,Short Story White Rum,30 ml | Quarter | Bottle,
Bar Menu,Rum,Amrut Two Indies,"30 ml | Quarter |
Bottle",
Bar Menu,Rum,Cabo,30ml | Quarter | Bottle,
Bar Menu,Rum,Bacardi Carta Blanca,"30 ml | Quarter |
Bottle",
Bar Menu,Rum,Bacardi Cuatro 4Y,30 ml | Quarter | Bottle,
Bar Menu,Rum,Bacardi Ocho 8Y,30 ml | Quarter | Bottle,
Bar Menu,Rum,Bacardi Diez 10Y,30 ml | Quarter | Bottle,
Bar Menu,Rum,Segredo Aldeia White/Cafe,30 ml | Quarter | Bottle,
Bar Menu,Rum,Mount Gay,30 ml | Quarter | Bottle,
Bar Menu,Rum,Ron Diplomatico Mantuano,"30 ml | Quarter |
Bottle",
Bar Menu,Rum,Ron Diplomatico Reserva,"30 ml | Quarter |
Bottle",
Bar Menu,Rum,Plantation 3 Stars,30 ml | Quarter | Bottle,
Bar Menu,Rum,Plantation Dark,30 ml | Quarter | Bottle,
Bar Menu,Rum,Plantation Pineapple,30ml | Quarter | Bottle,
Bar Menu,Rum,Ashanti Spiced Rum,30 ml | Quarter | Bottle,
Bar Menu,Rum,The Lovers Rum,30 ml | Quarter | Bottle,
Bar Menu,Rum,Bush Tropical,30ml | Quarter | Bottle,
Bar Menu,Rum,Kraken,30ml | Quarter | Bottle,
Bar Menu,Rum,Flor De Cana 7Y,30 ml | Quarter | Bottle,
Bar Menu,Rum,Flor De Cana 12Y,30ml | Quarter | Bottle,
Bar Menu,Rum,El Dorado 12Y,30ml | Quarter | Bottle,
Bar Menu,Rum,Appleton Estate 12Y,30ml | Quarter | Bottle,
Bar Menu,Rum,Havana Club 7Y,30ml | Quarter | Bottle,
Bar Menu,Rum,Twin Fin Spiced Rum,30ml | Quarter | Bottle,
Bar Menu,Whiskey,Black & White,"30 ml | Quarter |
Bottle",
Bar Menu,Whiskey,Teacher's Highland Cream,30 ml | Quarter | Bottle,
Bar Menu,Whiskey,Lucifer's Gold,30 ml | Quarter | Bottle,
Bar Menu,Whiskey,Dewar's White Label,30 ml | Quarter | Bottle,
Bar Menu,Whiskey,Dewar's Japanese Smooth 8Y,30 ml | Quarter | Bottle,
Bar Menu,Whiskey,Dewar's 12Y,30 ml | Quarter | Bottle,
Bar Menu,Whiskey,Dewar's 15Y,30 ml | Quarter | Bottle,
Bar Menu,Whiskey,Dewar's 18Y,30 ml | Quarter | Bottle,
Bar Menu,Whiskey,Dewar's Double Double 21Y,30 ml | Quarter | Bottle,
Bar Menu,Whiskey,J&B Rare,"30 ml | Quarter |
Bottle",
Bar Menu,Whiskey,JW Red Label,30 ml | Quarter | Bottle,
Bar Menu,Whiskey,JW Black Label,30ml | Quarter | Bottle,
Bar Menu,Whiskey,JW Double Black,"30 ml | Quarter |
Bottle",
Bar Menu,Whiskey,JW Gold Label,30 ml | Quarter | Bottle,
Bar Menu,Whiskey,JW 18Y,30 ml | Quarter | Bottle,
Bar Menu,Whiskey,Chivas 12Y,30ml | Quarter | Bottle,
Bar Menu,Whiskey,Monkey Shoulder,"30 ml | Quarter |
Bottle",
Bar Menu,Whiskey,Aberfeldy 12Y,30ml | Quarter | Bottle,
Bar Menu,Other Whiskeys,Japanese Whiskey,,
Bar Menu,Other Whiskeys,Suntory Toki,30 ml | Quarter | Bottle,
Bar Menu,Other Whiskeys,Tenjaku,30 ml | Quarter | Bottle,
Bar Menu,Other Whiskeys,Hibiki Harmony,30 ml | Quarter,
Bar Menu,Other Whiskeys,American Whiskey,,
Bar Menu,Other Whiskeys,Benchmark Bourbon,30ml | Quarter | Bottle,
Bar Menu,Other Whiskeys,Templeton Rye 4Y,"30 ml | Quarter |
Bottle",
Bar Menu,Other Whiskeys,Jack Daniel's,30ml | Quarter | Bottle,
Bar Menu,Other Whiskeys,Gentleman Jack,30ml | Quarter | Bottle,
Bar Menu,Other Whiskeys,Jack Daniels Single Barrel,30ml | Quarter | Bottle,
Bar Menu,Other Whiskeys,Jack Daniels Fire/Apple/Honey,30 ml | Quarter | Bottle,
Bar Menu,Other Whiskeys,Buffalo Trace,30ml | Quarter | Bottle,
Bar Menu,Other Whiskeys,Woodford Reserve,30ml | Quarter | Bottle,
Bar Menu,Other Whiskeys,Maker's Mark,30 ml | Quarter | Bottle,
Bar Menu,Other Whiskeys,Irish Whiskey,,
Bar Menu,Other Whiskeys,Jameson,30ml | Quarter | Bottle,
Bar Menu,Other Whiskeys,Jameson Black Barrel,30ml | Quarter | Bottle,
Bar Menu,Other Whiskeys,Bushmills Original,30ml | Quarter | Bottle,
Bar Menu,Other Whiskeys,Bushmills Black Bush,30ml | Quarter | Bottle,
Bar Menu,Other Whiskeys,Teeling Small Batch,30ml | Quarter,
Bar Menu,Single Malt,Glenlivet 12Y,30ml | Quarter | Bottle,
Bar Menu,Single Malt,Glenlivet 15Y,30ml | Quarter | Bottle,
Bar Menu,Single Malt,Glenfiddich 12Y,"30 ml | Quarter |
Bottle",
Bar Menu,Single Malt,Glenfiddich 15Y,"30 ml | Quarter |
Bottle",
Bar Menu,Single Malt,Glenfiddich 18Y,30ml | Quarter | Bottle,
Bar Menu,Single Malt,Glenmorangie 10Y,30ml | Quarter,
Bar Menu,Single Malt,Talisker 10Y,"30 ml | Quarter |
Bottle",
Bar Menu,Single Malt,Cragganmore 12Y,"30 ml | Quarter |
Bottle",
Bar Menu,Single Malt,Bowmore 12Y,"30 ml | Quarter |
Bottle",
Bar Menu,Single Malt,Caol Ila 12Y,30ml | Quarter | Bottle,
Bar Menu,Single Malt,Laphroaig,"30 ml | Quarter |
Bottle",
Bar Menu,Single Malt,Ardbeg 10Y,"30 ml | Quarter |
Bottle",
Bar Menu,Single Malt,Macallan 12Y,30ml | Quarter | Bottle,
Bar Menu,Single Malt,Indian Single Malt,,
Bar Menu,Single Malt,Amrut Amalgam,"30 ml | Quarter |
Bottle",
Bar Menu,Single Malt,Paul John Bold,"30 ml | Quarter |
Bottle",
Bar Menu,Single Malt,Paul John PX Cask,30ml | Quarter | Bottle,
Bar Menu,Single Malt,Indri,"30 ml | Quarter |
Bottle",
Bar Menu,Agave Spirits,Maya Pistola Joven,30 ml | Quarter | Bottle,
Bar Menu,Agave Spirits,Maya Pistola Reposado,30 ml | Quarter | Bottle,
Bar Menu,Agave Spirits,Jose Cuervo Silver,"30 ml | Quarter |
Bottle",
Bar Menu,Agave Spirits,Jose Cuervo Reposado,30 ml | Quarter | Bottle,
Bar Menu,Agave Spirits,400 Conejos,30 ml | Quarter,
Bar Menu,Agave Spirits,Patron Siver,30 ml | Quarter | Bottle,
Bar Menu,Agave Spirits,1800 Anejo,30 ml | Quarter | Bottle,
Bar Menu,Agave Spirits,Creyente Mezcal,30 ml | Quarter | Bottle,
Bar Menu,Agave Spirits,Codigo 1530 Blanco,30 ml | Quarter | Bottle,
Bar Menu,Agave Spirits,Codigo 1530 Rosa,30 ml | Quarter | Bottle,
Bar Menu,Agave Spirits,Patron Reposado,30 ml | Quarter | Bottle,
Bar Menu,Agave Spirits,Don Julio Blanco,30 ml | Quarter | Bottle,
Bar Menu,Agave Spirits,Don Julio Reposado,30 ml | Quarter | Bottle,
Bar Menu,Agave Spirits,Don Julio 1942,30 ml | Quarter | Bottle,
Bar Menu,Agave Spirits,Maestro Dobel Reposado,30 ml | Quarter | Bottle,
Bar Menu,Good Ol' Drinks,Vesper Martini,"Short Story Gin, Lillet Blanc, orange bitters",
Bar Menu,Good Ol' Drinks,Pisco Sour,"La Botija Qubrenta, lime, egg white",
Bar Menu,Good Ol' Drinks,Moscow Mule,"Short Story Vodka, lime, ginger beer",
Bar Menu,Good Ol' Drinks,Palmetto,"Bacardi 4Y, sweet vermouth, aromatic bitters",
Bar Menu,Good Ol' Drinks,Boulevardier,"Lucifer's, Campari, sweet vermouth",
Bar Menu,Good Ol' Drinks,Dark 'N' Stormy,"Plantation Dark, lime, Franklin Ginger Beer",
Bar Menu,Good Ol' Drinks,Americano,Made by pouring hot water over a double espresso,
Bar Menu,Good Ol' Drinks,Breakfast Martini,"Short Story Dry Gin, orange marmalade, lime",
Bar Menu,Good Ol' Drinks,Martinez,"Short Story Gin, sweet vermouth,
luxardo maraschino cherry liqueur,
orange bitters",
Bar Menu,Beers,ON TAP,,
Bar Menu,Beers,Great State Ale Works BELGIAN WIT,Easy drinking ale spiced with citrus zest & coriander,
Bar Menu,Beers,Great State Ale Works NEW ENGLAND IPA,Light & session-able NEIPA with a hoppy finish,
Bar Menu,Beers,Bombay Duck Brewing RICE & SHINE FARMHOUSE ALE,"Light, crisp & flavourful farmhouse ale made with
local rice",
Bar Menu,Beers,Pedro's Pick,"If you love craft beers as much as we do, try our
newest select, brewed with a whole lot of love!",
Bar Menu,Beers,We also serve pitchers for all our beers on tap,Please ask your server,
Bar Menu,Mead,"Jamun Melomel, Cerana Meads","Crisp & dry, with definite tannins from
jamun",
Bar Menu,Wines,"Moet & Chandon Brut, France",Bottle,
Bar Menu,Wines,"Martini Prosecco, Italy",Glass | Bottle,
Bar Menu,Wines,"Chandon Brut, India",Bottle,
Bar Menu,Wines,All Day Drinking,,
Bar Menu,Wines,"The Source, Grenache, India",Glass | Carafe | Bottle,
Bar Menu,Wines,"Chandon Brut, Rose, India",,
Bar Menu,Wines,Slightly Sweet,,
Bar Menu,Wines,"Sula, Chenin Blanc, India",Glass | Carafe | Bottle,
Bar Menu,Wines,"Sensi, Pinot Grigio, Italy",Glass | Carafe | Bottle,
Bar Menu,Wines,"Colterenzio Lumo, Pinot Grigio, Italy",Bottle,
Bar Menu,Wines,Light & Fresh,,
Bar Menu,Wines,"Robertson, Sauvignon Blanc, South Africa",Glass | Carafe | Bottle,
Bar Menu,Wines,"St Clair, Sauvignon Blanc, New Zealand",Bottle,
Bar Menu,Wines,"Apaltagua, Chardonnay, Chile",Bottle,
Bar Menu,Wines,Floral & Fruity,,
Bar Menu,Wines,"Grovers VA Collection, Viognier, India",Glass | Carafe | Bottle,
Bar Menu,Wines,"Kamptal Loimer, Gruner Veltliner, Austria",Bottle,
Bar Menu,Wines,"Easy Peasy, Light & Breezy",,
Bar Menu,Wines,"Robertson, Pinotage, South Africa",Glass | Carafe | Bottle,
Bar Menu,Wines,"La Grand Noir, Pinot Noir, France",Glass | Carafe | Bottle,
Bar Menu,Wines,For All Occassions - Medium & Fruity,,
Bar Menu,Wines,"Querciabella Mongrana Maremma, Sangiovese-Cab Sauv-Merlot, Italy",Bottle,
Bar Menu,Wines,"St Cosme Cote Du Rhone, Syrah, France",Bottle,
Bar Menu,Wines,"Sula Rasa, Shiraz, India",Glass | Carafe | Bottle,
Bar Menu,Wines,Dinner in A Bottle - Bold & Powerful,,
Bar Menu,Wines,"Grover Chene Grande Reserve, Tempranillo-Shiraz, India",Bottle,
Bar Menu,Wines,"Fratelli Sette, Sangiovese-Cab Sauv, India",Bottle,
Bar Menu,Free Spirited Cocktails,Kokum Fizz,"Homemade kokum syrup, cranberry,
lime, black salt, soda",
Bar Menu,Free Spirited Cocktails,Honey-Sesame Iced Americano,"Cold brew coffee, honey, toasted sesame, sea salt",
Bar Menu,Free Spirited Cocktails,Watermelon Fizz,"Mint shrub, house-made watermelon soda",
Bar Menu,Free Spirited Cocktails,Umami Brew Kombucha,Kokum ginger,
Bar Menu,Good Ol' water,Vedica Spring,,
Bar Menu,Good Ol' water,Perrier,,
Bar Menu,Coffee/Tea,Darjeeling Green Tea,,
Bar Menu,Coffee/Tea,Cappuccino/Cafe latte/Macchiato,,
Bar Menu,Coffee/Tea,Espresso Single/Double,,
Bar Menu,Coffee/Tea,Ask your server for coffee over ice,,
Bar Menu,Aerated Beverages,Coke/Diet Coke/Sprite,,
Bar Menu,Aerated Beverages,Fresh Lime Soda/Water,,
Bar Menu,Aerated Beverages,Ginger Ale,,
Bar Menu,Aerated Beverages,Franklin Ginger Beer,,
Bar Menu,Aerated Beverages,Red Bull,,
Bar Menu,Aerated Beverages,"Svami, Indian Tonic",,
Bar Menu,Aerated Beverages,Sepoy Mint Tonic,,
Bar Menu,Aerated Beverages,Franklin Grapefruit/Black Olive Tonic,,
Bar Menu,Aerated Beverages,Svami Soda,,
